Date,actual,predicted
2018-02-05,254.259995,257.0972006248105
2018-02-06,265.720001,260.5186923970093
2018-02-07,264.559998,269.72146168641564
2018-02-08,250.100006,253.5717263374358
2018-02-09,249.470001,241.53127670468018
2018-02-12,257.950012,255.2915806129841
2018-02-13,258.269989,258.6149020505159
2018-02-14,266.0,268.2311676559169
2018-02-15,280.269989,276.6387072322822
2018-02-16,278.519989,279.1930907485773
2018-02-20,278.549988,283.38204524402397
2018-02-21,281.040009,284.4785870289368
2018-02-22,278.140015,276.98892653786044
2018-02-23,285.929993,282.5559221283127
2018-02-26,294.160004,293.26440899888394
2018-02-27,290.609985,293.9196644004947
2018-02-28,291.380005,293.715885167927
2018-03-01,290.390015,288.00551841430865
2018-03-02,301.049988,296.88107563350104
2018-03-05,315.0,310.54420535064537
2018-03-06,325.220001,323.1157133361217
2018-03-07,321.160004,319.7132901758787
2018-03-08,317.0,316.8661487819327
2018-03-09,331.440002,329.25466166607697
2018-03-12,321.299988,322.98966627502904
2018-03-13,315.880005,317.4586854380126
2018-03-14,321.549988,322.9768233456935
2018-03-15,321.089996,319.5307799770166
2018-03-16,318.450012,321.46675087486904
2018-03-19,313.480011,310.33787561624086
2018-03-20,317.5,318.0188703565451
2018-03-21,316.480011,317.4914318473948
2018-03-22,306.700012,308.2114057205954
2018-03-23,300.940002,303.66646824997594
2018-03-26,320.350006,312.80469385629397
2018-03-27,300.690002,302.05155234920136
2018-03-28,285.769989,286.04296898554486
2018-03-29,295.350006,285.4168093481867
2018-04-02,280.290009,279.33254786189
2018-04-03,283.670013,284.4851657350268
2018-04-04,288.940002,285.058611199092
2018-04-05,293.970001,295.0765753097039
2018-04-06,288.850006,294.37874990513
2018-04-09,289.929993,296.1233402819507
2018-04-10,298.070007,294.42281060680676
2018-04-11,303.670013,309.8347064064452
2018-04-12,309.25,309.14283305399385
2018-04-13,311.649994,310.77880673325103
2018-04-16,307.779999,307.69532591811605
2018-04-17,336.059998,334.5130430329453
2018-04-18,334.519989,334.78300124280594
2018-04-19,332.700012,330.2389605725713
2018-04-20,327.769989,330.93446239821935
2018-04-23,318.690002,321.1717404807206
2018-04-24,307.019989,306.7731577279334
2018-04-25,305.76001,298.62345163805855
2018-04-26,313.980011,311.96140145781516
2018-04-27,311.76001,309.4060526626988
2018-04-30,312.459991,315.8367182698412
2018-05-01,313.299988,310.04584591693157
2018-05-02,313.359985,315.11247201508087
